LES MOTS EN PEUL;LA TRADUCTION EN FRANÇAIS;CATEGORIE GRAMMATICALE
cuurze;vapeurs;PPP
cuusal;courage;PPS
cuusal;bravour;PPS
cuuzi;cases;NCP
cuvol;choix/ élection;PPS
cuzaaji;parures;PPP
daacoove;griots qui chantent ces chants;PPP
daacoowo;griot qui chante ces chants;PPS
daacugo;chanter des chants propres aux bergers;VIA
daada;mere;NCS
daadaaji;meres;NCP
daadiraave;meres;NCP
daadiraawo;mere;NCS
dabiije;gros frelons;NCP
dabiiwal;gros frelon;NCS
davaago;agiter;VIM
dazdaztirgo;se dépasser mutuellement;VIA
dazgo;s'echapper;VIA
daznirgo;sauver d'une certaine manière;VIA
daztoraago;echapper à une difficulté;VIM
dazzaago;crever (cheval ou âne seulement);VIM
dazzaaje;tapis de selle;PPP
dazzaare;tapis de selle;PPS
debadebanaago;trainasser;VIM
debdebtugo;s'occuper de beauacoup de choses;VIA
defeego;cuire;VIP
defrudu;case ou l'on fait la cuisine;PPS
defruzi;cases ou l'on fait la cuisine;PPP
defgo;faire cuire;VIA
defoove;cuisiniers;PPP
defoowo;cuisinier;PPS
dezal;peau d'animal;NCS
deze;peaux des animaux;NCP
diggali;roulement du tonnerre;PPP
diirtaago;descendre;VIM
dippitgo;retirer;VIA
diirgo;se deplacer légeremment;VIA
dirham;piece d'argent;U
dirkugo;etre taché de graisse;VIA
dirnaaje;plante non ident;NCP
dirnaare;plante non ident;NCS
dirsugo;glisser sur le sol;VIA
dirvango;ecraser pour quelqu'un;VIA
dirvitaago;ecraser une deuxieme fois;VIM
dirvitingo;faire crepir;VIA
dirvugo;écraser;VIA
disnugo;dessiner;VIA
diwgo;sauter;VIA
diqiwol;murette elevée;NCS
diqiiji;murettes elevées;NCP
dummoozi;anus;NCP
duppitaaki;coup de vent;PPS
Duumirde;paturage saison des pluies;PPS
Duumol ;saison de pluie;PPS
duumtuze;terrain laissé en jachère;PPP
duuvi;années;NCP
nduuvu;année;NCS
eccitannde;une seule portion;PPS
eccitanze;plusieurs portions;PPP
eccitgo;prendre une portion ;VIA
edda;periode imposée à la femme divorcée;U
edusji;civettes;NCP
edusru;civette;NCS
ee;eh!;I
eeleende;ambition;PPS
eelgo;etre ambitieux;VIA
eemaago;pousser;VIM
eemoral;selles douloureuses;PPS
eemtingo;etre pleine manifestement;VIA
eergo;s'egarer;VIA
eertaago;boiter;VIM
eesaago;se détacher;VIM
eesannde;bouchée de nourriture;PPS
eesanze;bouchées de nourriture;PPP
eesgo;prendre avec une portion de doigt;VIA
eestaago;prendre une deuxieme portion;VIM
eggannde;lieu ou nombre de fois d'émigration;PPS
egganze;lieux ou nombres de fois d'émigration;PPP
eggitgo;mourir;VIA
eggudu;démenagement;PPS
eggugo;s'installer ailleurs;VIA
egil'en;habiles;NCP
egiljo;habile;NCS
ego;ailleurs;U
elgo;avoir du degout;VIA
ellitaago;crier comme un fou;VIM
elnaago;etre repugnant;VIM
eltaago;etre dressé;VIM
eltango;dresser;VIA
elteego;avoir été dressé;VIP
elto;education;PPS
eltugo;dresser un animal;VIA
elwitgo;cesser d'etre insolent;VIA
elwugo;etre insolent;VIA
en'ente;etat maladif d'un enfant;NCP
enkon;petites mamelles;NCP
enndu;sein;NCS
entugo;sevrer;VIA
enzam;lait maternel/sève/affection maternelle;NCS
enzango;etre bon pour un tiers;VIA
enzi;seins;NCP
enzidal;affection;NCS
enzidgo;avoir pitié de plusieurs ensemble;VIA
enzidki;affection ;PPS
enzindirgo;etre bon;VIA
enzugo;avoir pitié;VIA
esiraagu;parenté par alliance;PPS
esiraawo;beau-père ou belle-mere;PPS
esirgo;etre allié à;VIA
estitaago;tromper une deuxieme fois/se leurrer;VIM
estitinaago;etre hautain;VIM
estitinaare;caractére hautain;PPS
estugo;amadouer;VIA
etango;mesurer;VIA
etergal;mesure de capacité;PPS
etgo;mesurer;VIA
etnirgo;faire mesurer 'une certaine manière;VIA
ewannde;nombre de petit cri;PPS
ewanze;nombres de petits cris;PPP
ewgo;pousser un petit cri;VIA
ewoode;blessure;NCS
ewooze;blessures;NCP
faadaare;reunion de gens;NCS
faadamaajo;courtisan;NCS
faadama'en;courtisan;NCP
faddanaago;empecher le passage à quelqu'un;VIM
faddingo;caler un recipient;VIA
faddinirde;pommeau;PPS
feccango;partager pour quelqu'un;VIA
feccugo;diviser;VIA
fezango;accrocher;VIA
fezgo;accrocher;VIA
fezinirde;bouton;PPS
ngaaba;désacord;PPS
gaavtaro;malchancheux;PPS
galaaji;pois de terre;NCP
galaqal;partie latérale du visage;NCS
galaqe;partie latérale du visage;NCP
gañal-nukku;insociabilité;NCS
gasol;fosé;PPS
geeraaze;œufs;PPP
gide;siècles;PPP
gikke;opinions qu'on a de quelqu'un;PPP
gikku;temparement;PPS
gikkumaajo;coléreux;PPS
giri;rigols;PPP
girki;rigol;PPS
gizgizziraawo;ami;PPS
gole;joues;NCP
gonorle;séjours;PPP
ngootimmaaku;unicité;NCS
nguxaari;prêt;PPS
guuli;cordons ombilicaux/ manches des louches;NCP
haa'inaago;etre méchant;VIM
haa'inaare;mechanceté;PPS
haa'ingo;rendre méchant;VIA
haa'ootirgo;se disputer;VIA
hormingo;honorer;VIA
hormizgo;etre honoré;VIA
hormugo;etre digne;VIA
horndolde;archaique;NCS
korndolle;archaiques;NCP
ibbe;figues sauvages;NCP
ibbere;figue sauvage;NCS
iblisa;diable;U
ifriituwol;nom d'un chef de demon;NCS
iftugo;revenir de;VIA
iidgo;produire un bruit continu;VIA
iijaanaago;s'en prendre à;VIM
iijeeho;feuille de ficus non identifié;NCS
iijeewal;bois de ficus non identifié;NCS
iilgo;briller au loin;VIA
iiloogel;luciole;PPS
iilooyel;luciole;PPS
iimaanaaku;foi;NCS
iina;decision;PPS
iinaaji;decisions;PPP
iinorde;moment ou l'on doit accomplir ce qu'on a décidé;PPS
iinortirgo;décider l'un vis-à-vis de l'autre;VIA
iinorze;moments ou l'on doit accomplir ce qu'on a décidé;PPP
iiraago;commencer à se faire sentir;VIM
iirtol;point arriere;PPS
iirtugo;coudre à points arriere;VIA
iiwaaje;graminée de terrain marécageux;NCP
iiwaare;graminée de terrain marécageux;NCS
iiwgo;etre formée, avoir les seins apparents;VIA
ijitgo;gratter la terre;VIA
ikliil;mansion lunaire;U
ilaagol;ruisseau;PPS
ilaazi;ruisseaux;PPP
ildugel;ruisselet;PPS
ildukon;ruisselets;PPP
ildugol;rigole;PPS
ildukon;ruisselets;PPP
ilduzi;rigoles;PPP
ilgo;couler;VIA
ilgo ;couler;VIA
ilnidgo;emporter entierement;VIA
ilnugo;faire flotter;VIA
iloogal;aigle pecheur;PPS
ilooze;aigles pecheurs;PPP
iltugo;descendre le courant;VIA
imraaneeje;inscriptions sur un talisman;NCP
imraanewal;inscription sur un talisman;NCS
inaboohi;vigne;NCS
inabooje;raisins;NCP
inaboore;raisin;NCS
inna;mere;NCS
inndango;donner un nom à quelqu'un;VIA
innde;nom;PPS
inndeeri;animal egorgé lors de l'imposition du nom;PPS
inndugo;donner un nom;VIA
innitoraago;indiquer son nom;VIM
innooje;noms;PPP
innoore;nom;PPS
innoreego;etre appelé;VIP
innu;etre humain;NCS
innugo;donner un nom;VIA
intaago;etre realisé quand meme;VIM
inze;noms;PPP
iraago;etre enfoui;VIM
irango;enfouir quelque chose;VIA
irannde;endroit ou l'on a enfoui;PPS
iranze;endroit ou l'on a enfoui;PPP
irdugo;enfouir ensemble;VIA
irgo;mettre en terre;VIA
irin;genre;U
irkugo;crier;VIA
irlitgo;emettre un avis personnel;VIA
irnaago;exciter;VIM
iro'iroonde;insecte qui creuse un silon;NCS
irsugo;etre humide;VIA
irtaago;se lever;VIM
irtango;deterrer pour quelqu'un;VIA
irtozzaaki;apostasie;PPS
irtugo;deterrer;VIA
islugo;eternuer;VIA
isnaago;"faire ""ich ich""";VIM
istidaa'i;commmencement;U
istirjaa'u;conversion;U
istiqfaaru;demande de pardon;U
itikaafu;retraite;U
ittango;enlever quelque chose;VIA
ittidaago;etre enlevé complement;VIM
ittidgo;enlever completement;VIA
ittirzum;instrument pour extraire;PPS
ittugo;oter;VIA
iwde ;lieu d'origine;PPS
iwgo;venir de;VIA
iyaalu;famille;U
iyaaluuji;familles;NCP
iyeele;pluies;NCP
iyeende;pluie;NCS
iyo;oui;U
jaave;jujubiers;NCP
jaavi;jujubier;NCS
jaavruze;pieds;PPP
jaavrugal;pied;PPS
jaawal;vitesse;PPS
jaharze;identités;PPP
jammirgo;donner un sobriquet;VIA
jammooje;surnoms;PPP
jammoore;surnom;PPS
jammugo;donner un surnom;VIA
jamze;métaux;NCP
jari;breuvage magique;U
javve;tamariniers;NCP
javvi;tamarinier;NCS
jemma-waaye;provision de route;U
jobnorgal;torche;PPS
kabidooje;capuchons en vannerie pour se proteger contre la pluie;NCP
kabidoore;capuchon en vannerie pour se proteger contre la pluie;NCS
kolobaaji;bouteilles;NCP
kolobaaru;bouteille;NCS
kooleejo;bournouan;NCS
koole'en;bournouans;NCP
laabnaago;galoper;VIA
laabngo;galop;PPS
ladaago;etre muezzin;VAM
ladan'en;muezzin;PPP
ladanjo;muezzin;PPS
ladanku;fonction de muezzin;PPS
lawndaago;glaner;VIM
lawndiri;mil que l'on a glané;PPS
lawndirri;glanement;PPS
lawnditaago;glaner;VIM
limaago;etre imam;VIM
liman;iman;U
limanaago;etre imam;VIM
limango;compter pour quelqu'un;VIA
limanjo;iman;PPS
lime;nombres;PPP
limgal;calcul;PPS
limle;calcul;PPP
limre;nombre;PPS
limtugo;enumérer;VIA
limtuki;enumération;PPS
looftaago;prendre un lavement;VIM
looftootiral;mélange;PPS
looftootirgo;mélanger;VIA
loygal;clavicule;NCS
loyle;clavicules;NCP
lugge;creux;PPP
luggere;creux;PPS
luggi;plaines en contre bas (grandes surfaces avec ou sans eaux);PPP
luggol;plaine en contre bas (grande surface avec ou sans eau);PPS
luggugo;etre profond;VIA
Luurde;nuages;NCS
Mavaago;empecher de sortir;VIM
Mavaago;empecher de sortir;VIM
ma'aago;conseiller secrètement;VIM
Ma'aago;conseiller secrètement;VIM
Maablugo;être perplexe;VIA
Maabtaaago;surprendre quelqu'un;VIM
Maabtaaki;action de surprendre;PPS
Maabtol;action de surprendre;PPS
Maadaago;etre un gros commercant;VIM
Maadalla;merci;U
Maaduguujo;gros commercant;NCS
Maafiire;épervier;CNS
Maaje;rivieres;NCP
Maajuujaaku;nanisme, infirmité d'un nain;NCS
Maajuujaajo;nain, Pygme;NCS
Maajuujaaku;paganisme;NCS
Maakaago;rester caché ;VIM
Maakdindirgo; se ressembler au point de provoquer la confusion ;VIA
maamaaji;aïeuls;NCP
Maapaago ;être très grand;VIM
Maapindaare;grandeur, énormite;PPS
MAAPINNDI;trés grand, ènorme, geant ;PPS
maaraago  ;gifler, souffleter;VIM
Maarara  ;panse, intestins et poumons d'un animal.;U
Maaris  ;Mars ;U
maarmaartirgo ;se gifler mutuellement, échanger des gifles;VIA
Ma'arnaago;récupérer son argent auprès d'un débiteur ;VIM
ma'rnaaki;empreint;PPS
ma'arningo;empreint;VIA
ma'arnoraago;empreint;VIM
Maarooga ;terre sablonneuse, sable fin;NCS
Maaroori  ;riz;NCS
Maartaago ;gifler en retour;VIM
MAASGO ;mettre les signes vocaliques ;VIA
Maa'un;melange qui ameliore un produit;U
Maabaago;etre griot;VIM
Maabaajo;griot;PPS
Maabaaku;fonction;PPS
Maabanaago;chanter les louanges;VIM
Maabtol;action de surprendre;PPS
Maaza;de toi, ton, ta , tes;AJPS
maayde;la mort;PPS
Maaygo;mourir, décéder;VIA
Maaynugo;faire mourir;VIA
Maayreego;perdre quelqu'un;VIP
maayu;Mai ( du calendrier julien);U
Mavaaki;bloquer la sortie;PPS
Mabaraswol;turban blanc;NCS
Mabbol;frauder;PPS
Mabbugo;regler provisoirement un different;VIA
Mabbuki;frauder;PPS
Mablugo;etre indicis;VIA
Mabluki;fait d'etre indecis;PPS
Macarkarjo;ancien mari d'une femme indecis;NCS
Macarku;relation  de l'ancien mari par rapport au femme;NCS
Maccanaago;etre esclave;VIM
Maccingo;rendre esclave;VIA
Maccitinaago;faire un travail d'esclave volontairement;VIM
Maccuzo;serviteur ;NCS
Mazaago;montrer de la mauvaise volonté;VIM
Maddaaru;anus;NCS
maddingo;aller à Médine;VIA
MAQTITAAGO  ;faire son propre éloge;VIM
Maduwarwol;corde d'attache;NCS
Magaaji;conseiller du Lamiido;NCS
Magaajiiku;chargé de magaaji;NCS
MAHANGO;construire pour qqn;VIA
Mahdi;mur (de case)Construction;PPS
MAHLAAGO;finir, terminer;VIM
MAHOL;construction, manière de construire ;PPS
MAHTAAGO; reconstruire, rebattir.;VIM
MAQTUGO  ;faire l'éloge de qqn;VIA
MAJGO;se crisper spasmodiquement;VIA
MAJJERE; perte (rare) / ignorance;PPS
MAJJIDGO;être perdu, être complètement perdu;VIA
MAJJINGO  ;causer la perte totale,gaspiller;VIA
MAJJITINAAGO;se faire passer pour un ignorant;VIM
MAJJITINAARE;simulation d'ignorant;PPS
MAJJITINGO;faire disparaitre;VIA
MAJJITGO; être debarrasse de son ignorance;VIA
MAJJUGO;se perdre en route, etre perdu;VIA
MAKAANIYAARE;simple bonnet de coton importe de la Mecque;NCS
MAKALA;beignet;U
MAKINDAAGO  ;amorcer le geste de frapper avec un objet;VIM
MAKKA ; La Mecque;U
MAKKUGO ;aller à la Mecque;VIA
MALAAKU  ;caractère indocile, désobéissant;NCS
MALAPAARE;chapeau de paille à larges bords;NCS
MALLAMALLABEERI ;python de Séba;NCS
Malle;Mali;NCS
MALLUGO;faire devenir marabout;VIA
Mallum ; marabout;U
MAMAAGO;chercher un objet dans l'obscurité ;VIM
MAMMBAAGO;prendre à bras le corps;VIM
MAMGO;trainer les pieds;VIA
MAMSINIRGO ;se contenter de ce que l'on a;VIA
MANNDAWAAWU; arachides salèes et grillées;NCS
Manngou;grandeur, énormite;PPS
manooje ;felicitations;PPP
MANTANAAGO;se vanter devant qqn;VIM
MANTl ;vantardise;PPP
MANTORAAGO  ;se vanter de qq.ch.;VIM
mappe ; faute de langage,d'accord de classe;PPP
mappugo ;se trompe, faire un lapsus;VIA
MARAA'DO ;esclave, captif;PPS
Maraave;esclaves, captifs;PPP
Marafiyaare ;calotte blanche brodée a la machine;NCS
Mardi ;biens, possessions, Fortune;PPS
Mardugo  ;posséder en commun, être Co-propriètaire ;VIA
Mardu-mardu ;avec acharnement ;NCS
mare ;possession, propriété Juridiction;PPP
MARGO; posséder, avoir;VIA
MARSOOTIRGO;compter reciproquement l'un sur l'autre;VIA
masalaaji;paragraphes ;NCP
MASALAN ;par exemple;U
MASIIB0 ;malheur calamite, catastrophe;U
MASIN ;très, beaucoup.;AVM
MASLAHAAKU;bienveillance;NCS
MASLANGO; être bienveillant à l'egard de, rendre service a.;VIA
MASLOOTIRGO;Se rendre Service;VIA
MASALLAARE;terrain de prière;NCS
ma'tango;garder, surveiller ;VIA
Ma'tingo;faire sentir;VIA
Ma'tootirgo;se surveiller mutuellement;VIA
ma'tugo;sentir, ressentir, entendre;VIA
maturu;maladie légère;NCS
Mavaago;bloquer la sortie;VIM
MANGARIBA ;coucher du soleil;U
Mavmavtugo;etre indecis;VIA
Mavmavtuki;etre perdu;PPS
Mavñugo;hesiter;VIA
Mavñuki;action d'etre indecis;PPS
Mavvaago;etre fermé;VIM
Mavvaare;betise;PPS
Mavvande;fermeture;PPS
mavvango;fermer pour quelqu'un;VIA
mavve;d'elles;AJPP
Mavvitango;ouvrir pour quelqu'un;VIA
Mavvoode;couvercle;NCS
Mavvugo;fermer;VIA
Mavvuki;action de fermer;PPS
mawnidgo;grandir ensemble;VIA
mawningo;agrandir, etre ensemble;VIA
mawniraagu;ainesse;PPS
mawniraawo;grand frère;PPS
mawnitaago;être orgueil;VIM
mawnitinaago;rendre plus grand ;VIM
Mawnudi;education , manière;PPS
Mawnugo;grandir, etre grand;VIA
mawri;l'année prochaine;NCS
mawtiri;dans 02 ans;NCS
mawxiijo;nom d'un clan peul;NCS
Mazaago;faire à contre-cœur;VIM
Ma'ndaago et maandaago;faire une marque ;VIM
Maandaaki;faire une marque ;PPS
Mazaare;mauvaise volonté;PPS
Maandingo;faire une marque pour;VIA
Maandol;une marque ;PPS
Maandoraago;signet (dans un livre);VIM
Maandorde;"marque; une pierre tombale";PPS
mayaba;seduction;U
Mayganaajo;beau, belle;NCS
Mayleeru;anus;NCS
mayrama;Marie;NP
Mayramjo;fille belle respectée;NCS
Meemgo;se toucher;VIA
Meemmeemnugo;toucher à tout;VIA
Meemmeemtirgo;se toucher l'un l'autre, etre très proche;VIA
Meemtaago;se toucher soi meme;VIM
Meeraare; paresse, inutilité;NCS
Meere;pour rien, sans motifs;NCS
Meerizgo;devenir,paresseux;VIA
Meesmeestugo;hésiter dans sa demarche;VIA
Meesulleeku;indolence;NCS
Meetaago;porter un turbo;VIM
Meetaleewol ;turban;PPS
Meeygo;toucher, tater;VIA
me'go;begayer;VIA
Mehre;sans riens, pour rien, sans motifs;NCS
Mellindirgo;parler sans arrêt et sans interruption;VIA
me'oowo;bégue;PPS
Mettaago;gouter;VIM
Mettango;etre deplaisant pur quelquel;VIA
Metteenga;peine, chagrin;PPS
Mettingo;faire gouter;VIA
Mettugo;etre fade ou gout;VIA
Mettuko;sauce fade;PPS
me'tugo;recommencer;VIA
Miccitaago;regreter, reflechir sur ce qu'on a fait;VIM
Miijaago;hesiter à faire quelque chose;VIM
Miijo;hesitation;PPS
Miilaago;etre tourné vers;VIM
Miilanaago;s'incliner vers;VIM
Miilgo;faire des projets pour l'avenir;VIA
Miilowal; à perte de vue;PPS
Miinfuuku;auto satisfaction;NCS
Miloraago;s'incliner vers;VIM
Mimsa ;regret ;PPS
Mimmbar;chaire ( de predicateur );U
Minaaruwal ;minaret;NCS
Minti;minute;U
Mippo;borné;PPS
Mippol;incapacité d'apprendre ou de comprendre;PPS
mippu;incapacité d'apprendre ou de comprendre;PPS
Misaalu;exemple;U
Miskinjo;pauvre;PPS
Miskitinaago;se faire passer pour un indigent;VIM
Miskitinaare;simulation d'indigence;PPS
Misra;egypte;NCS
Mistiriijo;sorcière;NCS
Miwgo;distraction;VIA
Modduko;etre épais , consistant;PPS
Modibbo;"homme savant; docteur en sciences coraniques";NCS
Moftaago;perdre sa netteté;VIM
Moftugo;effacer;VIA
Mogaago;avoir peur de parler;VIM
Mojaago;s'envelopper dans un drap/couverture;VIM
Mojaaki;eclipse;PPS
Mojaare;drap pour s'enveloper;PPS
Mojol;eclipse;PPS
Mokotaajo;borné;NCS
Mone ;ressentiment, agacement;NCP
Moodgo;rendre très savant;VIA
Moolaago;prier dieu pour obtenir un refuge;VIM
Moolooru;mandaline , guitare;NCS
Moomaago;se retirer discretement;VIM
Moomodaago;partir ensemble discretement;VIM
mooraago;se faire coiffer;VIM
Moorgol;coiffure;PPS
Moosgo;sourire;VIA
Moostaare;indiscretion, irrespect;PPS
Moostingo;rendre irrespectueux;VIA
Moota;voiture;U
Moovgo;rassembler, reunir;VIA
Moovodaago;se rassembler tous sans exception;VIA
Moovre;assemblée;PPS
Moovrugo;se rassembler tous sans exeption;VIA
Moovtaago;se rassembler;VIM
Moovtango;rassembler, reunir;VIA
Moovtootiral;rassemblement;PPS
Moozon;vôtre;AJPP
Moxooxo;picotement;NCS
Moxxango;etre charitable;VIA
Moxxere;ameliorement de la santé;PPS
Moxxitingo;ameliorer , reparer;VIA
Mordugo;succer  complètement;VIA
Morgo;glisser;VIA
Morlugo;faire une boule;VIA
Mornugo;faire glisser ;VIA
Mortaago;glisser rapidement le long d'un toit;VIM
Moslitgo;détordre;VIA
Moslugo;torsader, attacher;VIA
Mottango;filer pour quelqu'un;VIA
Mottingo;faire filer, donner à filer;VIA
Mottoowo;fileuse;PPS
Mottugo;filer;VIA
Mozgo;avaler;VIA
Moyteego;etre caressé;VIP
Moytitaago;se caresser soi meme;VIM
Moytugo;caresser, frotter legerement;VIA
Mufgo;capturer, ravir kidnapper;VIA
Mufoowo;ravisseur, brigand;PPS
Mugaddasi;la ville sainte ( jerusalem);U
Mugeego;rester muet de peur;VIP
Mukkaago;mettre dans sa bouche;VIM
Mukkuxoore;rat des roseaux;PPS
Mukoore;éphemere;PPS
Mulgamjo;édenté;NCS
Mulgamku;absence de dents;NCS
Mulgizgo;perdre, ou absence de dents;VIA
Mulupuwol;vetement rouge des serviteurs du Lamido;NCS
Mumxaago;manger avec mes levres;VIM
Mumtaago;s'essuyer, se torcher;VIM
Mumtirgol;papier hygiénique;PPS
Mumtorzum;objet servant à essuyer;PPS
Mumtugo;essuyer,torcher;VIA
Mumumte;bétail;U
MUÑGO;etre patient;VIA
Muraadu;désir;U
Murayre;sardine;NCS
Murgimurgingo;murmurer constament;VIA
Murgo;sucer;VIA
Murlizgo;etre ron, cylindrique;VIA
Mursugo ;etre gluand, ;VIA
Musidingo;teter ensemble;VIA
Musidizziraawo;frère ou sœur en lait;NCS
Musingo;teter;VIA
Musiningo;faire teter , donner à teter ;VIA
Musinirde;incisive;PPS
Muskuwaari;terme général pour les sorghos;NCS
Mustari;jupiter;NCS
Mustugo;se lecher les doigts ;VIA
Musvere;contradiction;PPS
Musvugo;transpercer, mettre en doute;VIA
Mutafanniniijo;très savant;NCS
Mutdugo;couler , s'enfoncer ensemble;VIA
Mutgo;s'enfoncer  dans l'eau;VIA
Mutki;naufrage;PPS
Mutol;coucher du soleil;PPS
Mutteeku; sorcellerie;NCS
Muttugo;frapper avec un instrument;VIA
Muucaago;appeler un chat ou ou une vache;VIM
Muudgo;faire une aumone de mil en periode du ramadan;VIA
Muugu;secret, renfermé ;NCS
Muuguuku;caractere renfermé;NCS
Muukaaku;état de sourd-muet, surdi-mutité;NCS
Muukaaru;qui n'a pas d'ouverture;NCS
Muuke;pièces de monnaie;NCP
Muukzugo;devenir sourd-muet;VIA
Muukzingo;rendre sourd muet;VIA
Muumini;nom propre d'un homme;NP
Muuminiijo;musulman fervant;NCS
Muuvaago;etre intact ;VIM
Muuvgo;fermer;VIA
Muuzgo;manger quelque chose sans macher;VIA
Muuñgal;conversation amoureuse;PPS
Muuñgo;vouloir , desirer;VIA
Muuñmuuñtirgo;se faire la cour reciproquement;VIA
Muuyo ;désir volonté;PPS
Muuñoowo;celui qui fait la cour, prétendant;PPS
Muvnaago;etre obscur;VIM
muvnugo;fermer les yeux;VIA
Muqkari ;ange qui interroge les morts;NP
ñaabaraare;cicatrice de variol;NCS
Naazaago;s'étirer;VIM
Naazgo;faire  s'étirer;VIA
Naafdaago;lire ou étudier le coran par simple devotion;VIM
Naafgo; prier;VIA
Naafikaare;Hyprocrisie, duplicité;NCS
Naafikiijo;hypocritique;NCS
Naafikoraago;tromper quelqu'un;VIM
Naafila;prier surérogatoire;U
Nafki;aiselle;NCS
ñaaftizgo;etre laid;VIA
ñaagaago;parler méchament;VIM
Naagawa;chamelle;NCS
ñaakiiru;feuillet;NCS
ñaakiiwu;cheval;NCS
ñaakzingo;faire grissonner;VIA
ñaakzugo;grisonner;VIA
ñaale;vache toute blanche;NCS
ñaalel;héron;NCS
Naalugo;maudire;VIA
Na'am;oui, me voici;U
ñaamannde;action de manger;PPS
ñaamrude;mangoire;PPS
ñaamdu;nourriture;PPS
ñaamgo;manger;VIA
ñaamri;rackure de bois;PPS
Naana;nom propre d'un homme;NP
ñaañaago;se gratter;VIM
ñaancugo;griller;VIA
Naane;il y'a quelque temps;AVT
Naane ;autre fois;AVT
ñaañgo;gratter;VIA
ñaaqngugo;bagarreur;VIA
Naargewol;accumulation de nuages noirs;PPS
Naargingo;s'accumuler( nuage noirs);VIA
ñaargo;se disperser rapidement;VIA
ñaartugo;déshabiller;VIA
ñaastugo;égratigner;VIA
ñaawe;taches rouges sur la robe d'un animal;NCS
ñaande;balle;NCS
ñaazgo;etre rude;VIA
ñaaygo;etre épuisé;VIA
ñabbugo;"aboyer longuement; accumuler qq. ch. pour boucher un trou.";VIA
ñabu;lion;NCS
Nafa;nourriture;U
Nafaago;manger;VIM
Nafaari;nourriture, repas;PPS
Nafgo;etre utile;VIA
ñaflaago;etre brusque avec quelqu'un;VIM
Nafodaago;manger ensemble;VIM
Nafoowo;serviable, qui rend service;PPS
Nafsu;ame;U
ñaftaago;faire on apparition;VIM
Naftoraago;utiliser, se servir de;VIM
Naftugo;devenir utile;VIA
Nafuuda;utilité, avantage;U
Naggo ;faire faire tous les jours;VIA
nagge;bœuf ou vache;NCS
Nahiisa ;malchance;U
Nahiisaaku;malchance;NCS
Nahiisaare;jour néfaste;NCS
Nakas ;etre fatigué;U
Nakassa;perte, dimunition;U
Nakkisgo;faire éprouver une perte;VIA
Nakkisitgo;diminuer;VIA
Nakkisaago;éprouver une perte ;VIM
ñalaaze;jours;NCP
ñalahe;gémisse;NCS
ñalawma ;de jour;U
ñalawmaaje;journées;NCP
ñalawmaare;journée;NCS
ñallanze;journée passée quelque part;NCS
ñallingo;etre en retard;VIA
ñallingo;faire caillé;VIA
ñallugo;passer la journée;VIA
Na'loore;malediction;NCS
ñalwugo;etre dèja en haut;VIA
ñalze;jours;NCP
ñalzeejo;capricieux;NCS
ñamaande;emprunter;NCS
ñaamdugo;manger entièrement;VIA
Namgo;moudre, écraser;VIA
ñamlaago;preter;VIM
ñaamnugo;nourrir;VIA
ñaamrude;endroit ou l'on mange;PPS
Nanango;entendre quelque chose;VIA
Nanze;ouie;PPS
Nanndu ;ressemblance, similitude;PPS
Naange;soleil;NCS
Nannanti;réputation;NCS
Nannantirgo;s'entendre mutuellement;VIA
Nannugo;faire entendre;VIA
Nantaago;entendre une deuixieme fois;VIM
Nanndal;ressemblance, similitude;PPS
nanndingo;traiter quelqu'un comme;VIA
Nanndidingo;confondre avec;VIA
nanndugo;ressembler à, etre semblable à;VIA
ñappitaago;se reveiller en sursaut;VIM
Nareehi;caroubier;NCS
Narnaartugo;prendre l'air en se promenant;VIA
Narrugo;s'entendre,etre d'accord;VIA
Nasaago;obeir;VIA
Nasaaraajo;homme de race blanche;NCS
Nasaaraare;langue Européens;NCS
Nasaaza;activité;U
Nasanaago ;obéir;VIM
Nasba;accusatif;U
Nasiya;paroles aimables;U
Nasiyaajo;maitrise de soi, calme;PPS
Nasmu;poésie, ;U
Nasrugo;reuissir;VIA
ñawgo;etre malade;VIA
ñawmannde;cadavre en décomposition;NCS
ñawmanze;cadavres en décompositions;NCP
ñawmugo;se décomposer;VIA
ñawsugo;etre maladif;VIA
ñawte;moqueries;NCP
ñawtere;moquerie;NCS
Nazzere;herbe qui pousse dans l'eau;NCS
Nazzingo;faire flechir;VIA
Naqngaaru;terrain precedement inoccupé;NCS
Naqngango;prendre , attraper pour quelqu'un;VIA
Nanngarde;vase à ablution;PPS
Nanngarzam;ablutions rituelle avant la prière;PPS
Nanngeeki;prise , arrestation;PPS
Nanngirzam;eau pour les ablutions rituelles;PPS
ñaqngu;éffronterie;PPS
Nanngugo;prendre attraper ;VIA
ñaqngugo;etre effronté;VIA
Naqka;malheuresement;C
mbaafu;etat d'un semis;NCS
mbaafuuji;etats d'un semis;NCP
mbaaraawu;balancoire;NCS
mbaase;paresseux;NCS
mbaaseejo;paresseux;NCS
mbabbaaje;entraves;NCP
mbabbaare;entrave;NCS
mbalku;sangsue;NCS
mbasu;penis, verge;NCS
mbay;manioc;NCS
mbayeeri;sorgho  de saison de pluie;NCS
mbayji;maniocs;NCP
mbaylaawu;petit tambour;NCS
mbeelu;ombre;NCS
mbeeluuji;ombres;NCP
mbeembaago;etre plein jusqu'au bord;VIM
mbeewa;chevre;NCS
mberelaaji;bavardages;NCP
mbezu;plateau de vannerie;NCS
mbiinam;eau de pluie;NCS
biriiji;arachides;NCP
